name	lowest-RSMD-to-REF	lowest-RMSD-to-REF-after-clustering	group
1GNY	0.527	0.75	l3l
1KQY	1.883	1.989	l3l
1KQZ	0.897	0.897	l3l
1LMQ	1.33	1.473	l3l
1OF4	0.999	1.087	l3l
1PMH	1.175	1.32	l3l
1UU6	2.295	2.295	l3l
1UXX	0.916	0.999	l3l
2BOF	1.846	1.937	l3l
2J72	0.977	1.034	l3l
2J73	1.069	1.071	l3l
2ZEX	0.801	0.825	l3l
3ACH	0.802	0.912	l3l
3OEB	1.017	1.075	l3l
4DQJ	1.895	1.895	l3l
4HK8	1.967	2.368	l3l
4XUR	0.628	0.673	l3l
4YFZ	0.821	0.943	l3l
5GY0	0.731	0.798	l3l
5VX5	0.901	0.993	l3l
5VX9	0.845	0.925	l3l
6MSY	1.562	1.679	l3l
6UG7	2.988	3.197	l3l
